"timezone";"gmt";"title_en";"title_ru"
"Kwajalein";"GMT-12:00";"International Date Line West";"Меридиан смены дат"
"Pacific/Midway";"GMT-11:00";"Midway Island";"Острова Мидуэй"
"Pacific/Samoa";"GMT-11:00";"Samoa";"Самоа"
"Pacific/Honolulu";"GMT-10:00";"Hawaii";"Гавайи"
"America/Anchorage";"GMT-09:00";"Alaska";"Аляска"
"America/Los_Angeles";"GMT-08:00";"Pacific Time (US & Canada)";"Тихоокеанское время (США и Канада)"
"America/Tijuana";"GMT-08:00";"Tijuana, Baja California";"Тихуана, Нижняя Калифорния"
"America/Denver";"GMT-07:00";"Mountain Time (US & Canada)";"Горное время (США и Канада)"
"America/Chihuahua";"GMT-07:00";"Chihuahua";"Чиуауа"
"America/Mazatlan";"GMT-07:00";"Mazatlan";"Мацатлан"
"America/Phoenix";"GMT-07:00";"Arizona";"Аризона"
"America/Regina";"GMT-06:00";"Saskatchewan";"Саскачеван"
"America/Tegucigalpa";"GMT-06:00";"Central America";"Центральная Америка"
"America/Chicago";"GMT-06:00";"Central Time (US & Canada)";"Центральное время (США и Канада)"
"America/Mexico_City";"GMT-06:00";"Guadalajara";"Гвадалахара"
"America/Mexico_City";"GMT-06:00";"Mexico City";"Мехико"
"America/Monterrey";"GMT-06:00";"Monterrey";"Монтеррей"
"America/New_York";"GMT-05:00";"Eastern Time (US & Canada)";"Североамериканское восточное время (США и Канада)"
"America/Bogota";"GMT-05:00";"Bogota";"Богота"
"America/Bogota";"GMT-05:00";"Quito";"Кито"
"America/Lima";"GMT-05:00";"Lima";"Лима"
"America/Rio_Branco";"GMT-05:00";"Rio Branco";"Риу-Бранку"
"America/Indiana/Indianapolis";"GMT-05:00";"Indiana (East)";"Индиана (восток)"
"America/Caracas";"GMT-04:30";"Caracas";"Каракас"
"America/Halifax";"GMT-04:00";"Atlantic Time (Canada)";"Атлантическое время (Канада)"
"America/Manaus";"GMT-04:00";"Manaus";"Манаус"
"America/Santiago";"GMT-04:00";"Santiago";"Сантьяго"
"America/La_Paz";"GMT-04:00";"La Paz";"Ла-Пас"
"America/St_Johns";"GMT-03:30";"Newfoundland";"Ньюфаундленд"
"America/Argentina/Buenos_Aires";"GMT-03:00";"Georgetown";"Джорджтаун"
"America/Sao_Paulo";"GMT-03:00";"Brasilia";"Бразилиа"
"America/Argentina/Buenos_Aires";"GMT-03:00";"Buenos Aires";"Буэнос-Айрес"
"America/Godthab";"GMT-03:00";"Greenland";"Гренландия"
"America/Montevideo";"GMT-03:00";"Montevideo";"Монтевидео"
"Atlantic/South_Georgia";"GMT-02:00";"Mid-Atlantic";"Среднеатлантическое время"
"Atlantic/Azores";"GMT-01:00";"Azores";"Азорские острова"
"Atlantic/Cape_Verde";"GMT-01:00";"Cape Verde Is.";"Кабо-Верде"
"Europe/Dublin";"GMT";"Dublin";"Дублин"
"Europe/Lisbon";"GMT";"Lisbon";"Лиссабон"
"Europe/London";"GMT";"London";"Лондон"
"Europe/London";"GMT";"Edinburgh";"Эдинбург"
"Africa/Monrovia";"GMT";"Monrovia";"Монровия"
"Atlantic/Reykjavik";"GMT";"Reykjavik";"Рейкьявик"
"Africa/Casablanca";"GMT";"Casablanca";"Касабланка"
"Europe/Belgrade";"GMT+01:00";"Belgrade";"Белград"
"Europe/Bratislava";"GMT+01:00";"Bratislava";"Братислава"
"Europe/Budapest";"GMT+01:00";"Budapest";"Будапешт"
"Europe/Ljubljana";"GMT+01:00";"Ljubljana";"Любляна"
"Europe/Prague";"GMT+01:00";"Prague";"Прага"
"Europe/Sarajevo";"GMT+01:00";"Sarajevo";"Сараево"
"Europe/Skopje";"GMT+01:00";"Skopje";"Скопье"
"Europe/Warsaw";"GMT+01:00";"Warsaw";"Варшава"
"Europe/Zagreb";"GMT+01:00";"Zagreb";"Загреб"
"Europe/Brussels";"GMT+01:00";"Brussels";"Брюссель"
"Europe/Copenhagen";"GMT+01:00";"Copenhagen";"Копенгаген"
"Europe/Madrid";"GMT+01:00";"Madrid";"Мадрид"
"Europe/Paris";"GMT+01:00";"Paris";"Париж"
"Africa/Algiers";"GMT+01:00";"West Central Africa";"Западное центральноафриканское время"
"Europe/Amsterdam";"GMT+01:00";"Amsterdam";"Амстердам"
"Europe/Berlin";"GMT+01:00";"Berlin";"Берлин"
